A23,Fixed-wing,1P/S,Light,F,F,F,I,I,,AEROPRACT,A-23 Dragon AEROPRACT,Dragon,,,,,,,,,,,,,,,,,,,,,,,
A25,Fixed-wing,1P/S,Light,F,F,F,I,I,,AEROPRACT,A-25 Breeze AEROPRACT,Breeze,,,,,,,,,,,,,,,,,,,,,,,
A251,Fixed-wing,2P/S,Light,F,F,F,I,II,,AVIATIK-ALYANS,Aleks-251,,,,,,,,,,,,,,,,,,,,,,,,
A27,Fixed-wing,1P/S,Light,F,F,F,I,I,,AEROPRACT,A-27 AVANTAGE,A-27,,,,,,,,,,,,,,,,,,,,,,,
A270,Fixed-wing,1T/S,Light,F,F,F,I,I,,AERO (2),Ae-270 Ibis AERO (2),Ibis IBIS (1),Ae-270 Ibis IBIS (1),Ae-270 Spirit IBIS (1),Ibis IBIS (1),Spirit,,,,,,,,,,,,,,,,,,,
A29,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVANTAGE,A-29,,,,,,,,,,,,,,,,,,,,,,,,
A2RT,Helicopter,2T/S,Light,F,F,F,I,I,,KAZAN,Ansat 2RT,,,,,,,,,,,,,,,,,,,,,,,,
A3,Fixed-wing,2J/L,Medium,E,D,D,G,III,,DOUGLAS,A-3 Skywarrior DOUGLAS,ERA-3 Skywarrior DOUGLAS,NRA-3 Skywarrior DOUGLAS,Skywarrior DOUGLAS,TA-3 Skywarrior,,,,,,,,,,,,,,,,,,,,
A306,Fixed-wing,2J/H,Heavy,C,C,C,C,III,7,AIRBUS,A-300B4-600 AIRBUS,A-300C4-600 AIRBUS,A-300F4-600,,,,,,,,,,,,,,,,,,,,,,
A30B,Fixed-wing,2J/H,Heavy,C,C,C,C,III,8,AIRBUS,A-300B2K-3 AIRBUS,A-300B4-100 AIRBUS,A-300B4-2 AIRBUS,A-300B4-200 AIRBUS,A-300C4-200 AIRBUS,A-300F4-200,,,,,,,,,,,,,,,,,,,
A31,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVANTAGE,A-31 Spectrum AVANTAGE,Spectrum,,,,,,,,,,,,,,,,,,,,,,,
A310,Fixed-wing,2J/H,Heavy,C,C,C,C,III,7,AIRBUS,A-310 AIRBUS,CC-150 Polaris AIRBUS,Polaris,,,,,,,,,,,,,,,,,,,,,,
A318,Fixed-wing,2J/L,Medium,D,D,C,F,III,7,AIRBUS,A-318 AIRBUS,A-318 Elite AIRBUS,Elite,,,,,,,,,,,,,,,,,,,,,,
A319,Fixed-wing,2J/L,Medium,D,D,C,F,III,7,AIRBUS,A-319 AIRBUS,A-319 ACJ AIRBUS,ACJ AIRBUS,VC-1 ACJ,,,,,,,,,,,,,,,,,,,,,
A320,Fixed-wing,2J/L,Medium,D,D,C,F,III,7,AIRBUS,A-320 AIRBUS,A-320 Prestige AIRBUS,Prestige (A-320),,,,,,,,,,,,,,,,,,,,,,
A321,Fixed-wing,2J/L,Medium,D,D,C,F,III,7,AIRBUS,A-321,,,,,,,,,,,,,,,,,,,,,,,,
A33,Fixed-wing,1P/S,Light,F,F,F,I,I,,AEROPRACT,A-33,,,,,,,,,,,,,,,,,,,,,,,,
A332,Fixed-wing,2J/H,Heavy,B,B,A,B,III,8,AIRBUS,A-330-200 Voyager AIRBUS,KC-30 AIRBUS,Prestige (A-330-200) AIRBUS,Voyager,,,,,,,,,,,,,,,,,,,,,
A333,Fixed-wing,2J/H,Heavy,B,B,A,B,III,8,AIRBUS,A-330-300,,,,,,,,,,,,,,,,,,,,,,,,
A337,Fixed-wing,2J/H,Heavy,B,B,B,D,III,,AIRBUS,A-330-700 Beluga XL AIRBUS,Beluga XL,,,,,,,,,,,,,,,,,,,,,,,
A338,Fixed-wing,2J/H,Heavy,B,B,B,D,III,,AIRBUS,A-330-800,,,,,,,,,,,,,,,,,,,,,,,,
A339,Fixed-wing,2J/H,Heavy,B,G,G,D,III,,AIRBUS,A-330-900,,,,,,,,,,,,,,,,,,,,,,,,
